date,time,team,opponent_team,points,opponent_points,points_difference,spread,win_against_spread,spread_percentage_sbr,moneyline_team,moneyline_opponent,total_team,total_opponent,spread_percentage_sportsplays,spread_percentage_vegas
20130101,6:00p,DAL,WAS,103,94,9,-4.0,1,65,-170.0,160.0,191.5,191.5,72,82
20130101,6:00p,WAS,DAL,94,103,-9,4.0,0,35,160.0,-170.0,191.5,191.5,28,18
20130101,7:30p,POR,NYK,105,100,5,9.5,1,45,450.0,-525.0,197.0,197.0,40,44
20130101,7:30p,NYK,POR,100,105,-5,-9.5,0,55,-525.0,450.0,197.0,197.0,60,56
20130101,7:30p,SAC,DET,97,103,-6,7.0,0,50,240.0,-280.0,195.5,195.5,50,51
20130101,7:30p,DET,SAC,103,97,6,-7.0,1,50,-280.0,240.0,195.5,195.5,50,49
20130101,8:00p,ATL,NOP,95,86,9,-2.0,1,60,-120.0,110.0,185.0,185.0,83,50
20130101,8:00p,NOP,ATL,86,95,-9,2.0,0,40,110.0,-120.0,185.0,185.0,17,50
20130101,9:00p,LAC,DEN,78,92,-14,1.0,0,51,-105.0,-105.0,207.5,207.5,65,50
20130101,9:00p,DEN,LAC,92,78,14,-1.0,1,49,-105.0,-105.0,207.5,207.5,35,50
20130101,10:30p,PHI,LAL,103,99,4,9.0,1,42,390.0,-440.0,201.0,201.0,23,50
20130101,10:30p,LAL,PHI,99,103,-4,-9.0,0,58,-440.0,390.0,201.0,201.0,77,50
20130102,7:00p,SAC,CLE,97,94,3,3.5,1,50,145.0,-155.0,199.5,199.5,54,38
20130102,7:00p,CLE,SAC,94,97,-3,-3.5,0,50,-155.0,145.0,199.5,199.5,46,62
20130102,7:00p,WAS,IND,81,89,-8,10.5,0,46,568.0,-700.0,181.0,181.0,33,32
20130102,7:00p,IND,WAS,89,81,8,-10.5,1,54,-700.0,568.0,181.0,181.0,67,68
20130102,7:00p,POR,TOR,79,102,-23,4.5,0,42,165.0,-175.0,191.5,191.5,50,26
20130102,7:00p,TOR,POR,102,79,23,-4.5,1,58,-175.0,165.0,191.5,191.5,50,74
20130102,7:00p,CHI,ORL,96,94,2,-2.5,1,57,-135.0,125.0,185.5,185.5,62,50
20130102,7:00p,ORL,CHI,94,96,-2,2.5,0,43,125.0,-135.0,185.5,185.5,38,50
20130102,7:30p,DAL,MIA,109,119,-10,10.5,0,42,535.0,-650.0,204.5,204.5,41,56
20130102,7:30p,MIA,DAL,119,109,10,-10.5,1,58,-650.0,535.0,204.5,204.5,59,44
20130102,7:30p,MEM,BOS,93,83,10,-2.5,1,48,-135.0,125.0,180.0,180.0,42,37
20130102,7:30p,BOS,MEM,83,93,-10,2.5,0,52,125.0,-135.0,180.0,180.0,58,63
20130102,8:00p,SAS,MIL,117,110,7,-5.5,1,61,-220.0,200.0,204.0,204.0,72,61
20130102,8:00p,MIL,SAS,110,117,-7,5.5,0,39,200.0,-220.0,204.0,204.0,28,39
20130102,8:00p,BKN,OKC,110,93,17,10.0,1,41,485.0,-575.0,197.0,197.0,27,25
20130102,8:00p,OKC,BKN,93,110,-17,-10.0,0,59,-575.0,485.0,197.0,197.0,73,75
20130102,8:00p,NOP,HOU,92,104,-12,10.0,0,42,475.0,-560.0,202.5,202.5,22,50
20130102,8:00p,HOU,NOP,104,92,12,-10.0,1,58,-560.0,475.0,202.5,202.5,78,50
20130102,9:00p,PHI,PHX,89,95,-6,4.5,0,45,165.0,-175.0,195.0,195.0,46,50
20130102,9:00p,PHX,PHI,95,89,6,-4.5,1,55,-175.0,165.0,195.0,195.0,54,50
20130102,9:00p,MIN,UTA,84,106,-22,3.0,0,43,135.0,-145.0,196.0,196.0,26,50
20130102,9:00p,UTA,MIN,106,84,22,-3.0,1,57,-145.0,135.0,196.0,196.0,74,50
20130102,10:30p,LAC,GSW,94,115,-21,-1.5,0,51,-123.0,113.0,201.5,201.5,44,50
20130102,10:30p,GSW,LAC,115,94,21,1.5,1,49,113.0,-123.0,201.5,201.5,56,50
20130103,7:30p,SAS,NYK,83,100,-17,-1.0,0,53,-115.0,105.0,208.5,208.5,57,57
20130103,7:30p,NYK,SAS,100,83,17,1.0,1,47,105.0,-115.0,208.5,208.5,43,43
20130103,9:00p,MIN,DEN,101,97,4,8.5,1,42,325.0,-360.0,201.5,201.5,36,36
20130103,9:00p,DEN,MIN,97,101,-4,-8.5,0,58,-360.0,325.0,201.5,201.5,64,64
20130104,7:00p,SAC,TOR,105,96,9,7.0,1,49,260.0,-290.0,196.0,196.0,53,43
20130104,7:00p,TOR,SAC,96,105,-9,-7.0,0,51,-290.0,260.0,196.0,196.0,47,57
20130104,7:00p,CLE,CHA,106,104,2,1.5,1,52,107.0,-117.0,196.5,196.5,61,50
20130104,7:00p,CHA,CLE,104,106,-2,-1.5,0,48,-117.0,107.0,196.5,196.5,39,50
20130104,7:00p,BKN,WAS,115,113,2,-6.0,1,63,-230.0,210.0,183.5,183.5,84,50
20130104,7:00p,WAS,BKN,113,115,-2,6.0,0,37,210.0,-230.0,183.5,183.5,16,50
20130104,7:30p,ATL,DET,84,85,-1,-1.5,0,56,-117.0,107.0,190.5,190.5,65,50
20130104,7:30p,DET,ATL,85,84,1,1.5,1,44,107.0,-117.0,190.5,190.5,35,50
20130104,8:00p,CHI,MIA,96,89,7,7.5,1,45,280.0,-310.0,189.5,189.5,34,50
20130104,8:00p,MIA,CHI,89,96,-7,-7.5,0,55,-310.0,280.0,189.5,189.5,66,50
20130104,8:00p,IND,BOS,75,94,-19,3.0,0,43,130.0,-140.0,181.5,181.5,30,50
20130104,8:00p,BOS,IND,94,75,19,-3.0,1,57,-140.0,130.0,181.5,181.5,70,50
20130104,8:00p,PHI,OKC,85,109,-24,10.5,0,36,540.0,-660.0,196.5,196.5,12,50
20130104,8:00p,OKC,PHI,109,85,24,-10.5,1,64,-660.0,540.0,196.5,196.5,88,50
20130104,8:00p,POR,MEM,86,84,2,8.0,1,52,320.0,-355.0,182.0,182.0,64,50
20130104,8:00p,MEM,POR,84,86,-2,-8.0,0,48,-355.0,320.0,182.0,182.0,36,50
20130104,8:30p,HOU,MIL,115,101,14,1.0,1,56,-102.0,-108.0,214.0,214.0,53,50
20130104,8:30p,MIL,HOU,101,115,-14,-1.0,0,44,-108.0,-102.0,214.0,214.0,47,50
20130104,9:00p,UTA,PHX,87,80,7,1.5,1,45,108.0,-118.0,199.0,199.0,36,50
20130104,9:00p,PHX,UTA,80,87,-7,-1.5,0,55,-118.0,108.0,199.0,199.0,64,50
20130104,10:30p,LAL,LAC,102,107,-5,4.5,0,47,160.0,-170.0,207.0,207.0,43,50
20130104,10:30p,LAC,LAL,107,102,5,-4.5,1,53,-170.0,160.0,207.0,207.0,57,50
20130105,7:00p,MIL,IND,80,95,-15,4.5,0,44,165.0,-175.0,187.5,187.5,34,42
20130105,7:00p,IND,MIL,95,80,15,-4.5,1,56,-175.0,165.0,187.5,187.5,66,58
20130105,7:00p,NYK,ORL,114,106,8,-6.0,1,59,-240.0,220.0,196.0,196.0,66,58
20130105,7:00p,ORL,NYK,106,114,-8,6.0,0,41,220.0,-240.0,196.0,196.0,34,42
20130105,7:00p,BOS,ATL,89,81,8,5.5,1,50,190.0,-210.0,187.0,187.0,56,34
20130105,7:00p,ATL,BOS,81,89,-8,-5.5,0,50,-210.0,190.0,187.0,187.0,44,66
20130105,7:30p,HOU,CLE,112,104,8,-6.0,1,64,-250.0,210.0,213.0,213.0,73,72
20130105,7:30p,CLE,HOU,104,112,-8,6.0,0,36,210.0,-250.0,213.0,213.0,27,28
20130105,7:30p,SAC,BKN,93,113,-20,7.0,0,50,260.0,-290.0,196.0,196.0,56,51
20130105,7:30p,BKN,SAC,113,93,20,-7.0,1,50,-290.0,260.0,196.0,196.0,44,49
20130105,8:00p,POR,MIN,102,97,5,6.5,1,58,235.0,-255.0,190.5,190.5,62,73
20130105,8:00p,MIN,POR,97,102,-5,-6.5,0,42,-255.0,235.0,190.5,190.5,38,27
20130105,8:30p,PHI,SAS,86,109,-23,13.5,0,45,1075.0,-1350.0,198.0,198.0,37,29
20130105,8:30p,SAS,PHI,109,86,23,-13.5,1,55,-1350.0,1075.0,198.0,198.0,63,71
20130105,8:30p,NOP,DAL,99,96,3,6.0,1,44,220.0,-240.0,193.5,193.5,28,50
20130105,8:30p,DAL,NOP,96,99,-3,-6.0,0,56,-240.0,220.0,193.5,193.5,72,50
20130105,9:00p,UTA,DEN,91,110,-19,10.5,0,42,470.0,-555.0,201.5,201.5,35,50
20130105,9:00p,DEN,UTA,110,91,19,-10.5,1,58,-555.0,470.0,201.5,201.5,65,50
20130105,10:30p,GSW,LAC,89,115,-26,6.5,0,55,240.0,-260.0,202.5,202.5,59,50
20130105,10:30p,LAC,GSW,115,89,26,-6.5,1,45,-260.0,240.0,202.5,202.5,41,50
20130106,1:00p,OKC,TOR,104,92,12,-6.5,1,61,-265.0,245.0,196.5,196.5,79,72
20130106,1:00p,TOR,OKC,92,104,-12,6.5,0,39,245.0,-265.0,196.5,196.5,21,28
20130106,6:00p,WAS,MIA,71,99,-28,14.0,0,39,1325.0,-1700.0,191.5,191.5,32,30
20130106,6:00p,MIA,WAS,99,71,28,-14.0,1,61,-1700.0,1325.0,191.5,191.5,68,70
20130106,7:30p,CHA,DET,108,101,7,8.0,1,50,355.0,-400.0,194.0,194.0,31,50
20130106,7:30p,DET,CHA,101,108,-7,-8.0,0,50,-400.0,355.0,194.0,194.0,69,50
20130106,8:00p,MEM,PHX,92,81,11,-4.5,1,59,-185.0,170.0,184.5,184.5,70,50
20130106,8:00p,PHX,MEM,81,92,-11,4.5,0,41,170.0,-185.0,184.5,184.5,30,50
20130106,9:30p,DEN,LAL,112,105,7,5.5,1,45,220.0,-240.0,214.0,214.0,32,50
20130106,9:30p,LAL,DEN,105,112,-7,-5.5,0,55,-240.0,220.0,214.0,214.0,68,50
20130107,7:00p,OKC,WAS,99,101,-2,-11.5,0,66,-885.0,690.0,194.5,194.5,79,88
20130107,7:00p,WAS,OKC,101,99,2,11.5,1,34,690.0,-885.0,194.5,194.5,21,12
20130107,7:30p,BOS,NYK,102,96,6,7.5,1,42,290.0,-320.0,191.5,191.5,39,32
20130107,7:30p,NYK,BOS,96,102,-6,-7.5,0,58,-320.0,290.0,191.5,191.5,61,68
20130107,8:00p,SAS,NOP,88,95,-7,-8.0,0,65,-370.0,330.0,193.5,193.5,89,50
20130107,8:00p,NOP,SAS,95,88,7,8.0,1,35,330.0,-370.0,193.5,193.5,11,50
20130107,8:00p,CLE,CHI,92,118,-26,8.0,0,54,328.0,-365.0,186.0,186.0,48,50
20130107,8:00p,CHI,CLE,118,92,26,-8.0,1,46,-365.0,328.0,186.0,186.0,52,50
20130107,9:00p,DAL,UTA,94,100,-6,5.0,0,46,185.0,-200.0,198.5,198.5,38,50
20130107,9:00p,UTA,DAL,100,94,6,-5.0,1,54,-200.0,185.0,198.5,198.5,62,50
20130107,10:00p,MEM,SAC,113,81,32,-4.0,1,57,-160.0,150.0,188.0,188.0,79,50
20130107,10:00p,SAC,MEM,81,113,-32,4.0,0,43,150.0,-160.0,188.0,188.0,21,50
20130107,10:00p,ORL,POR,119,125,-6,7.0,0,54,235.0,-255.0,193.0,193.0,32,50
20130107,10:00p,POR,ORL,125,119,6,-7.0,1,46,-255.0,235.0,193.0,193.0,68,50
20130108,7:00p,MIA,IND,77,87,-10,-1.5,0,61,-118.0,108.0,187.0,187.0,73,71
20130108,7:00p,IND,MIA,87,77,10,1.5,1,39,108.0,-118.0,187.0,187.0,27,29
20130108,7:00p,BKN,PHI,109,89,20,1.5,1,51,105.0,-115.0,187.0,187.0,54,49
20130108,7:00p,PHI,BKN,89,109,-20,-1.5,0,49,-115.0,105.0,187.0,187.0,46,51
20130108,8:00p,ATL,MIN,103,108,-5,1.0,0,57,101.0,-111.0,188.5,188.5,65,64
20130108,8:00p,MIN,ATL,108,103,5,-1.0,1,43,-111.0,101.0,188.5,188.5,35,36
20130108,8:00p,PHX,MIL,99,108,-9,6.0,0,44,210.0,-230.0,200.5,200.5,35,40
20130108,8:00p,MIL,PHX,108,99,9,-6.0,1,56,-230.0,210.0,200.5,200.5,65,60
20130108,8:00p,LAL,HOU,112,125,-13,8.5,0,54,325.0,-360.0,223.5,223.5,46,41
20130108,8:00p,HOU,LAL,125,112,13,-8.5,1,46,-360.0,325.0,223.5,223.5,54,59
20130109,7:00p,ATL,CLE,83,99,-16,-4.0,0,61,-170.0,160.0,193.5,193.5,73,72
20130109,7:00p,CLE,ATL,99,83,16,4.0,1,39,160.0,-170.0,193.5,193.5,27,28
20130109,7:00p,PHI,TOR,72,90,-18,5.0,0,48,175.0,-190.0,189.0,189.0,46,38
20130109,7:00p,TOR,PHI,90,72,18,-5.0,1,52,-190.0,175.0,189.0,189.0,54,62
20130109,7:00p,UTA,CHA,112,102,10,-4.5,1,61,-175.0,165.0,199.0,199.0,78,50
20130109,7:00p,CHA,UTA,102,112,-10,4.5,0,39,165.0,-175.0,199.0,199.0,22,50
20130109,7:30p,PHX,BOS,79,87,-8,9.0,0,50,400.0,-450.0,192.0,192.0,40,50
20130109,7:30p,BOS,PHX,87,79,8,-9.0,1,50,-450.0,400.0,192.0,192.0,60,50
20130109,8:00p,LAL,SAS,105,108,-3,13.5,0,48,975.0,-1175.0,214.0,214.0,59,50
20130109,8:00p,SAS,LAL,108,105,3,-13.5,1,52,-1175.0,975.0,214.0,214.0,41,50
20130109,8:00p,MIN,OKC,84,106,-22,12.5,0,44,900.0,-1100.0,202.0,202.0,28,50
20130109,8:00p,OKC,MIN,106,84,22,-12.5,1,56,-1100.0,900.0,202.0,202.0,72,50
20130109,8:00p,HOU,NOP,79,88,-9,-2.5,0,55,-133.0,123.0,200.5,200.5,65,50
20130109,8:00p,NOP,HOU,88,79,9,2.5,1,45,123.0,-133.0,200.5,200.5,35,50
20130109,8:00p,MIL,CHI,104,96,8,6.0,1,41,205.0,-245.0,190.0,190.0,35,50
20130109,8:00p,CHI,MIL,96,104,-8,-6.0,0,59,-245.0,205.0,190.0,190.0,65,50
20130109,9:00p,ORL,DEN,105,108,-3,11.5,0,45,660.0,-840.0,204.0,204.0,46,50
20130109,9:00p,DEN,ORL,108,105,3,-11.5,1,55,-840.0,660.0,204.0,204.0,54,50
20130109,10:30p,MEM,GSW,94,87,7,1.0,1,38,-104.0,-106.0,191.0,191.0,21,50
20130109,10:30p,GSW,MEM,87,94,-7,-1.0,0,62,-106.0,-104.0,191.0,191.0,79,50
20130109,10:30p,DAL,LAC,93,99,-6,10.0,0,42,500.0,-700.0,202.0,202.0,33,50
20130109,10:30p,LAC,DAL,99,93,6,-10.0,1,58,-700.0,500.0,202.0,202.0,67,50
20130110,8:00p,NYK,IND,76,81,-5,5.5,0,49,200.0,-220.0,184.0,184.0,43,43
20130110,8:00p,IND,NYK,81,76,5,-5.5,1,51,-220.0,200.0,184.0,184.0,57,57
20130110,10:00p,DAL,SAC,117,112,5,3.0,1,50,125.0,-135.0,205.5,205.5,53,55
20130110,10:00p,SAC,DAL,112,117,-5,-3.0,0,50,-135.0,125.0,205.5,205.5,47,45
20130110,10:30p,MIA,POR,90,92,-2,-3.5,0,61,-155.0,145.0,194.5,194.5,74,79
20130110,10:30p,POR,MIA,92,90,2,3.5,1,39,145.0,-155.0,194.5,194.5,26,21
20130111,7:00p,CHA,TOR,78,99,-21,8.0,0,59,0.0,0.0,195.0,195.0,41,50
20130111,7:00p,TOR,CHA,99,78,21,-8.0,1,41,0.0,0.0,195.0,195.0,59,50
20130111,7:30p,PHX,BKN,79,99,-20,7.5,0,39,0.0,0.0,194.5,194.5,33,50
20130111,7:30p,BKN,PHX,99,79,20,-7.5,1,61,0.0,0.0,194.5,194.5,67,50
20130111,7:30p,HOU,BOS,91,103,-12,3.0,0,48,0.0,0.0,201.0,201.0,44,50
20130111,7:30p,BOS,HOU,103,91,12,-3.0,1,52,0.0,0.0,201.0,201.0,56,50
20130111,7:30p,UTA,ATL,95,103,-8,5.0,0,40,0.0,0.0,193.5,193.5,50,50
20130111,7:30p,ATL,UTA,103,95,8,-5.0,1,60,0.0,0.0,193.5,193.5,50,50
20130111,8:00p,SAS,MEM,98,101,-3,2.0,0,41,0.0,0.0,187.5,187.5,38,50
20130111,8:00p,MEM,SAS,101,98,3,-2.0,1,59,0.0,0.0,187.5,187.5,62,50
20130111,8:00p,MIN,NOP,92,104,-12,3.0,0,47,0.0,0.0,181.5,181.5,44,50
20130111,8:00p,NOP,MIN,104,92,12,-3.0,1,53,0.0,0.0,181.5,181.5,56,50
20130111,8:00p,CHI,NYK,108,101,7,4.5,1,49,0.0,0.0,194.0,194.0,34,50
20130111,8:00p,NYK,CHI,101,108,-7,-4.5,0,51,0.0,0.0,194.0,194.0,66,50
20130111,9:00p,CLE,DEN,91,98,-7,12.5,0,35,0.0,0.0,206.0,206.0,40,50
20130111,9:00p,DEN,CLE,98,91,7,-12.5,1,65,0.0,0.0,206.0,206.0,60,50
20130111,10:30p,POR,GSW,97,103,-6,8.0,0,32,295.0,-325.0,199.5,199.5,42,50
20130111,10:30p,GSW,POR,103,97,6,-8.0,1,68,-325.0,295.0,199.5,199.5,58,50
20130112,3:30p,ORL,LAC,104,101,3,12.5,1,45,0.0,0.0,198.0,198.0,43,56
20130112,3:30p,LAC,ORL,101,104,-3,-12.5,0,55,0.0,0.0,198.0,198.0,57,44
20130112,7:00p,CHA,IND,88,96,-8,11.5,0,6,0.0,0.0,184.5,184.5,65,50
20130112,7:00p,IND,CHA,96,88,8,-11.5,1,96,0.0,0.0,184.5,184.5,35,50
20130112,7:30p,UTA,DET,90,87,3,2.5,1,42,0.0,0.0,192.5,192.5,26,50
20130112,7:30p,DET,UTA,87,90,-3,-2.5,0,58,0.0,0.0,192.5,192.5,74,50
20130112,7:30p,HOU,PHI,100,107,-7,1.0,0,62,0.0,0.0,204.0,204.0,63,50
20130112,7:30p,PHI,HOU,107,100,7,-1.0,1,38,0.0,0.0,204.0,204.0,37,50
20130112,8:00p,PHX,CHI,97,81,16,8.5,1,40,0.0,0.0,189.0,189.0,11,50
20130112,8:00p,CHI,PHX,81,97,-16,-8.5,0,60,0.0,0.0,189.0,189.0,89,50
20130112,9:00p,MEM,DAL,83,104,-21,-1.0,0,46,0.0,0.0,187.0,187.0,60,50
20130112,9:00p,DAL,MEM,104,83,21,1.0,1,54,0.0,0.0,187.0,187.0,40,50
20130113,12:00p,NOP,NYK,87,100,-13,7.0,0,45,250.0,-275.0,190.0,190.0,40,50
20130113,12:00p,NYK,NOP,100,87,13,-7.0,1,55,-275.0,250.0,190.0,190.0,60,50
20130113,1:00p,MIL,TOR,107,96,11,3.0,1,48,135.0,-145.0,192.5,192.5,37,50
20130113,1:00p,TOR,MIL,96,107,-11,-3.0,0,52,-145.0,135.0,192.5,192.5,63,50
20130113,6:00p,IND,BKN,86,97,-11,5.0,0,46,160.0,-185.0,181.0,181.0,44,50
20130113,6:00p,BKN,IND,97,86,11,-5.0,1,54,-185.0,160.0,181.0,181.0,56,50
20130113,7:00p,MIN,SAS,88,106,-18,12.0,0,48,800.0,-1000.0,199.0,199.0,54,50
20130113,7:00p,SAS,MIN,106,88,18,-12.0,1,52,-1000.0,800.0,199.0,199.0,46,50
20130113,8:00p,GSW,DEN,105,116,-11,6.5,0,50,240.0,-260.0,209.0,209.0,60,50
20130113,8:00p,DEN,GSW,116,105,11,-6.5,1,50,-260.0,240.0,209.0,209.0,40,50
20130113,9:00p,OKC,POR,87,83,4,-4.0,1,60,-185.0,160.0,202.0,202.0,75,50
20130113,9:00p,POR,OKC,83,87,-4,4.0,0,40,160.0,-185.0,202.0,202.0,25,50
20130113,9:30p,CLE,LAL,93,113,-20,10.0,0,48,468.0,-550.0,209.5,209.5,27,50
20130113,9:30p,LAL,CLE,113,93,20,-10.0,1,52,-550.0,468.0,209.5,209.5,73,50
20130114,7:00p,ORL,WAS,91,120,-29,1.5,0,54,113.0,-123.0,191.5,191.5,52,61
20130114,7:00p,WAS,ORL,120,91,29,-1.5,1,46,-123.0,113.0,191.5,191.5,48,39
20130114,7:30p,CHA,BOS,89,100,-11,10.5,0,50,550.0,-675.0,192.5,192.5,40,50
20130114,7:30p,BOS,CHA,100,89,11,-10.5,1,50,-675.0,550.0,192.5,192.5,60,50
20130114,8:00p,ATL,CHI,58,97,-39,4.5,0,44,165.0,-175.0,183.0,183.0,32,50
20130114,8:00p,CHI,ATL,97,58,39,-4.5,1,56,-175.0,165.0,183.0,183.0,68,50
20130114,8:00p,LAC,MEM,99,73,26,4.5,1,48,165.0,-175.0,179.5,179.5,53,50
20130114,8:00p,MEM,LAC,73,99,-26,-4.5,0,52,-175.0,165.0,179.5,179.5,47,50
20130114,8:30p,MIN,DAL,98,113,-15,7.5,0,49,280.0,-310.0,195.5,195.5,35,50
20130114,8:30p,DAL,MIN,113,98,15,-7.5,1,51,-310.0,280.0,195.5,195.5,65,50
20130114,9:00p,MIA,UTA,97,104,-7,-2.5,0,58,-138.0,128.0,198.0,198.0,73,50
20130114,9:00p,UTA,MIA,104,97,7,2.5,1,42,128.0,-138.0,198.0,198.0,27,50
20130114,9:00p,OKC,PHX,102,90,12,-5.0,1,62,-215.0,195.0,199.5,199.5,86,50
20130114,9:00p,PHX,OKC,90,102,-12,5.0,0,38,195.0,-215.0,199.5,199.5,14,50
20130114,10:00p,CLE,SAC,118,124,-6,6.5,0,42,220.0,-240.0,205.5,205.5,49,50
20130114,10:00p,SAC,CLE,124,118,6,-6.5,1,58,-240.0,220.0,205.5,205.5,51,50
20130115,7:00p,IND,CHA,103,76,27,-7.5,1,55,0.0,0.0,185.0,185.0,81,50
20130115,7:00p,CHA,IND,76,103,-27,7.5,0,45,0.0,0.0,185.0,185.0,19,50
20130115,7:00p,NOP,PHI,111,99,12,3.0,1,40,0.0,0.0,183.5,183.5,47,50
20130115,7:00p,PHI,NOP,99,111,-12,-3.0,0,60,0.0,0.0,183.5,183.5,53,50
20130115,7:30p,TOR,BKN,106,113,-7,7.0,0,41,0.0,0.0,189.5,189.5,27,50
20130115,7:30p,BKN,TOR,113,106,7,-7.0,1,59,0.0,0.0,189.5,189.5,73,50
20130115,9:00p,POR,DEN,111,115,-4,9.0,0,53,0.0,0.0,202.0,202.0,59,50
20130115,9:00p,DEN,POR,115,111,4,-9.0,1,47,0.0,0.0,202.0,202.0,41,50
20130115,10:30p,MIL,LAL,88,104,-16,6.0,0,49,0.0,0.0,212.0,212.0,29,50
20130115,10:30p,LAL,MIL,104,88,16,-6.0,1,51,0.0,0.0,212.0,212.0,71,50
20130116,7:00p,IND,ORL,86,97,-11,-2.0,0,69,-123.0,113.0,186.5,186.5,79,80
20130116,7:00p,ORL,IND,97,86,11,2.0,1,31,113.0,-123.0,186.5,186.5,21,20
20130116,7:00p,CHI,TOR,107,105,2,-4.5,1,70,-185.0,170.0,183.0,183.0,78,71
20130116,7:00p,TOR,CHI,105,107,-2,4.5,0,30,170.0,-185.0,183.0,183.0,22,29
20130116,7:30p,BKN,ATL,95,109,-14,3.0,0,53,130.0,-140.0,187.5,187.5,65,75
20130116,7:30p,ATL,BKN,109,95,14,-3.0,1,47,-140.0,130.0,187.5,187.5,35,25
20130116,8:00p,NOP,BOS,90,78,12,8.5,1,41,340.0,-380.0,182.5,182.5,27,50
20130116,8:00p,BOS,NOP,78,90,-12,-8.5,0,59,-380.0,340.0,182.5,182.5,73,50
20130116,8:00p,DEN,OKC,97,117,-20,9.0,0,50,365.0,-410.0,209.0,209.0,38,50
20130116,8:00p,OKC,DEN,117,97,20,-9.0,1,67,-410.0,365.0,209.0,209.0,62,50
20130116,8:00p,HOU,DAL,100,105,-5,4.0,0,61,160.0,-170.0,213.5,213.5,47,50
20130116,8:00p,DAL,HOU,105,100,5,-4.0,1,39,-170.0,160.0,213.5,213.5,53,50
20130116,8:30p,MEM,SAS,82,103,-21,6.0,0,45,0.0,0.0,187.0,187.0,49,50
20130116,8:30p,SAS,MEM,103,82,21,-6.0,1,55,0.0,0.0,187.0,187.0,51,50
20130116,10:00p,CLE,POR,93,88,5,5.5,1,50,225.0,-245.0,197.5,197.5,24,50
20130116,10:00p,POR,CLE,88,93,-5,-5.5,0,50,-245.0,225.0,197.5,197.5,76,50
20130116,10:00p,WAS,SAC,94,95,-1,5.0,0,54,175.0,-190.0,207.5,207.5,55,50
20130116,10:00p,SAC,WAS,95,94,1,-5.0,1,46,-190.0,175.0,207.5,207.5,45,50
20130117,8:00p,LAC,MIN,90,77,13,-5.0,1,66,-190.0,175.0,193.5,193.5,80,80
20130117,8:00p,MIN,LAC,77,90,-13,5.0,0,34,175.0,-190.0,193.5,193.5,20,20
20130117,9:00p,MIL,PHX,98,94,4,-1.0,1,53,0.0,0.0,197.0,197.0,56,56
20130117,9:00p,PHX,MIL,94,98,-4,1.0,0,47,0.0,0.0,197.0,197.0,44,44
20130117,10:30p,MIA,LAL,99,90,9,2.0,1,65,115.0,-125.0,205.0,205.0,67,64
20130117,10:30p,LAL,MIA,90,99,-9,-2.0,0,35,-125.0,115.0,205.0,205.0,33,36
20130118,7:00p,CHA,ORL,106,100,6,6.5,1,47,0.0,0.0,197.0,197.0,51,50
20130118,7:00p,ORL,CHA,100,106,-6,-6.5,0,53,0.0,0.0,197.0,197.0,49,50
20130118,7:00p,TOR,PHI,101,108,-7,4.0,0,43,165.0,-175.0,190.5,190.5,35,50
20130118,7:00p,PHI,TOR,108,101,7,-4.0,1,57,-175.0,165.0,190.5,190.5,65,50
20130118,7:00p,CHI,BOS,100,99,1,2.5,1,43,0.0,0.0,181.5,181.5,46,50
20130118,7:00p,BOS,CHI,99,100,-1,-2.5,0,57,0.0,0.0,181.5,181.5,54,50
20130118,7:00p,HOU,IND,95,105,-10,4.5,0,52,0.0,0.0,195.0,195.0,47,50
20130118,7:00p,IND,HOU,105,95,10,-4.5,1,48,0.0,0.0,195.0,195.0,53,50
20130118,7:30p,ATL,BKN,89,94,-5,7.0,0,46,0.0,0.0,191.5,191.5,50,50
20130118,7:30p,BKN,ATL,94,89,5,-7.0,1,54,0.0,0.0,191.5,191.5,50,50
20130118,8:30p,GSW,SAS,88,95,-7,11.5,0,54,0.0,0.0,202.0,202.0,44,50
20130118,8:30p,SAS,GSW,95,88,7,-11.5,1,46,0.0,0.0,202.0,202.0,56,50
20130118,9:00p,WAS,DEN,112,108,4,10.5,1,57,0.0,0.0,203.5,203.5,38,50
20130118,9:00p,DEN,WAS,108,112,-4,-10.5,0,43,0.0,0.0,203.5,203.5,62,50
20130118,9:30p,OKC,DAL,117,114,3,-5.5,1,70,-220.0,200.0,206.0,206.0,71,50
20130118,9:30p,DAL,OKC,114,117,-3,5.5,0,30,200.0,-220.0,206.0,206.0,29,50
20130119,7:00p,SAS,ATL,98,93,5,-3.5,1,64,-160.0,150.0,194.0,194.0,73,86
20130119,7:00p,ATL,SAS,93,98,-5,3.5,0,36,150.0,-160.0,194.0,194.0,27,14
20130119,7:00p,SAC,CHA,97,93,4,-2.5,1,53,0.0,0.0,204.0,204.0,84,50
20130119,7:00p,CHA,SAC,93,97,-4,2.5,0,47,0.0,0.0,204.0,204.0,16,50
20130119,8:00p,GSW,NOP,116,112,4,5.0,1,58,0.0,0.0,187.0,187.0,62,50
20130119,8:00p,NOP,GSW,112,116,-4,-5.0,0,42,0.0,0.0,187.0,187.0,38,50
20130119,8:00p,MEM,CHI,85,82,3,-2.0,1,50,0.0,0.0,174.5,174.5,59,50
20130119,8:00p,CHI,MEM,82,85,-3,2.0,0,50,0.0,0.0,174.5,174.5,41,50
20130119,8:00p,HOU,MIN,79,92,-13,-5.5,0,60,-200.0,185.0,202.5,202.5,88,50
20130119,8:00p,MIN,HOU,92,79,13,5.5,1,40,185.0,-200.0,202.5,202.5,12,50
